Estados Unidos,Europa,Reino Unido,Japao,China,Suica,Australia,Canada,Coreia do Sul,Noruega,Suecia,Mexico,India,Brasil
0.09,-0.547590909090909,0.07,-0.072,2.86,-0.738181818181818,0.01,0.1775,0.77,0.42,-0.16214,4.71,4.25,5.12
0.08,-0.545045454545454,0.07,-0.072,2.77,-0.82,0.01,0.132,0.98,0.67,-0.17082,4.8,4.25,5.52
0.08,-0.549809523809524,0.16,-0.072,2.72,-0.726692380952381,0.04,0.12,1.08,0.74,-0.21338,5.06,4.25,6.44
0.08,-0.567363636363636,0.13,-0.072,2.94,-0.693960909090909,0.04,0.1175,1.17,0.83,-0.34709,5.27,4.25,7.75
0.08,-0.58195652173913,0.16,-0.049,3.08,-0.71745652173913,0.06,0.078,1.27,1.02,-0.38467,5.62,4.25,8.86
0.08,-0.560142857142857,0.53,-0.049,3.32,-0.714190952380952,0.07,0.305,1.39,1.1,-0.16025,5.87,4.25,9.25
0.08,-0.53150000005,0.81,-0.049,3.2,-0.684792,0.07,0.325,1.5,1.17,-0.1435,6.18,4.25,10.64
0.2,-0.495434782608696,0.99,-0.049,3.17,-0.682174347826087,0.17,0.566,1.5,1.32,-0.22491,6.57,4.25,11.23
0.33,-0.447894736842105,1.13,-0.049,2.99,-0.6725,0.41,1.0475,1.64,1.27,-0.098526,6.98,5.03,11.75
0.77,-0.385727272727273,1.31,-0.049,2.81,-0.685,1.0,1.3675,1.77,1.24,0.31314,7.38,5.03,12.62
1.21,-0.239227272727273,1.57,0.005,2.76,-0.508571428571429,1.6,1.834,1.99,1.68,0.5147,7.84,5.03,13.0
1.68,0.0366190476190476,1.84,-0.031,2.79,-0.11,2.07,2.445,2.41,2.24,0.7801,8.35,5.75,13.25
2.33,0.394739130434783,2.23,-0.02,2.5,-0.0245454545454545,2.31,2.908,2.79,2.6,1.13165,8.81,5.75,13.7
2.56,1.01086363636364,2.91,-0.016,2.36,0.1475,2.76,3.42,3.01,2.94,1.50959,9.22,5.75,13.75
3.08,1.42766666666667,3.39,-0.016,2.43,0.52875,2.95,3.76,3.69,3.33,1.60286,9.9,6.43,13.75
3.78,1.82522727272727,3.52,-0.016,2.68,0.54,3.06,3.988,3.99,3.51,1.67914,10.39,6.43,13.75
4.1,2.06347619047619,3.78,-0.015,2.79,0.736349047619048,3.17,4.1675,4.02,3.26,2.02062,10.82,6.43,13.75
4.33,2.34486363636364,4.01,-0.006,2.9,0.986904761904762,3.32,4.325,3.8,3.27,2.65695,10.94,6.75,13.75
4.57,2.64035,4.21,0.001,2.94,1.0,3.46,4.45,3.52,3.25,3.0353,11.27,6.75,13.75
4.65,2.91056521739131,4.33,-0.008,3.05,1.36382260869565,3.64,4.388,3.61,3.69,3.24887,11.51,6.75,13.75
4.83,3.167,4.52,-0.001,2.89,1.45,3.66,4.3675,3.5,3.74,3.41356,11.64,6.75,13.75
5.06,3.3664347826087,4.73,-0.019,2.98,1.45,3.9,4.478,3.64,3.94,3.50124,11.59,6.75,13.75
5.08,3.53586363636364,5.09,-0.003,2.81,1.59045454545455,4.25,4.8325,3.75,4.37,3.5381,11.51,6.75,13.75
5.12,3.67180952380952,5.49,-0.003,2.57,1.72,4.3,4.935,3.75,4.68,3.70871,11.5,6.75,13.75
5.33,3.78030434782609,5.53,-0.003,2.63,1.76727272727273,4.15,5.054,3.7,4.72,3.79361,11.5,6.75,13.28
5.33,3.88004761904762,5.52,0.024,2.64,1.77,4.13,5.0375,3.76,4.72,3.82667,11.51,6.75,13.08
5.33,3.96763636363636,5.4,-0.012,2.73,1.77,4.21,5.08,3.82,4.72,3.95627,11.51,6.75,12.75
5.33,3.97163636363636,5.36,0.024,2.88,1.73181818181818,4.38,4.996,3.83,4.69,4.10186,11.51,6.75,12.27
5.33,3.93309523809524,5.22,0.052,3.02,1.6525,4.35,4.9475,3.83,4.73,4.02842,11.5,6.75,11.96
